image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/496156-144-144?v=638343599301530000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Super Premium Talla G 72un ,S/ 65.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514607-144-144?v=638447497558070000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Natural Care Talla G 66un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514304-144-144?v=638445441711700000&width=144&height=144&aspect=true,Twopack Pañales para Bebé Babysec Super Premium Talla XXG 66un ,S/ 116.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/484952-144-144?v=638322106392930000&width=144&height=144&aspect=true,Pants Huggies Natcare XG 38un ,S/ 45.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/249144-144-144?v=638173949687100000&width=144&height=144&aspect=true,Pañales Huggies Primeros Días Talla P 50un ,S/ 35.70 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/244526-144-144?v=638173935998170000&width=144&height=144&aspect=true,Toallitas Húmedas Huggies Puro & Natural 80un ,S/ 15.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514860-144-144?v=638449097123370000&width=144&height=144&aspect=true,Toallitas Húmedas Antibacteriales Tuinies Minnie 100un ,S/ 9.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461114-144-144?v=638285929965300000&width=144&height=144&aspect=true,Shampoo para Bebé Johnson's Manzanilla 750ml ,S/ 39.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/496158-144-144?v=638343599326070000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Premium Talla G 72un ,S/ 60.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494527-144-144?v=638338527781230000&width=144&height=144&aspect=true,BOLSA BLOQUES 90 PCS ,S/ 31.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/488764-144-144?v=638325564369230000&width=144&height=144&aspect=true,Pañal para Bebé Huggies Natural Care Talla M 60un. ,S/ 49.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/479525-144-144?v=638319743802430000&width=144&height=144&aspect=true,Toallitas Húmedas Pequeñín Aloe Vera 100un ,S/ 11.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/458140-144-144?v=638285747135470000&width=144&height=144&aspect=true,Pañales Huggies Active Sec Talla XG 68un ,S/ 61.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/388398-144-144?v=638180599296500000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Triple Protección Talla XG 72un ,S/ 55.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/379599-144-144?v=638180592202230000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Súper Premium Talla M 58un ,S/ 50.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/479537-144-144?v=638319743845030000&width=144&height=144&aspect=true,Twopack Toallitas Húmedas Pequeñín Aloe Vera 100un ,S/ 24.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/354484-144-144?v=638180580309700000&width=144&height=144&aspect=true,Pañal para Playa y Piscina Huggies Little Swimmers Talla G 10un ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461116-144-144?v=638285930027670000&width=144&height=144&aspect=true,Shampoo para Bebé Johnson's Gotas de Brillo 750ml ,S/ 39.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/497275-144-144?v=638349754996770000&width=144&height=144&aspect=true,Tripack Toallitas Húmedas Babysec Premium 45un ,S/ 14.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/497321-144-144?v=638349755176570000&width=144&height=144&aspect=true,Toallitas Húmedas Babysec Premium 184un ,S/ 21.30 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/445629-144-144?v=638284517899470000&width=144&height=144&aspect=true,Tripack Pañales para Bebé Pampers Premium Care Talla XG 68un ,S/ 259.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/250333-144-144?v=638173953379770000&width=144&height=144&aspect=true,Jabón de Glicerina para Bebé Johnson's 80g ,S/ 4.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461113-144-144?v=638285929935400000&width=144&height=144&aspect=true,Shampoo Original Johnson's Baby Frasco 750 ml ,S/ 39.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461118-144-144?v=638285930091930000&width=144&height=144&aspect=true,Shampoo Hidratación Intensa Johnson's Baby Frasco 750 ml ,S/ 39.90 ,metro,Cuidado del Bebe
