image,product_brand,name,price,supermarket_name,category
https://plazavea.vteximg.com.br/arquivos/ids/26694837-184-184/20199824.jpg?v=638219809853170000,FROZEN,Filete de Tilapia Premium Congelada Bolsa 1kg,S/ 19.99 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363524-184-184/20168627.jpg?v=638276835942700000,EL BUEN CORTE,Guiso Especial de Res EL BUEN CORTE,S/ 39.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381019-184-184/20124483.jpg?v=637970148442500000,EL BUEN CORTE,Chuleta Punta de Lomo de Cerdo EL BUEN CORTE,S/ 13.89 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518406-184-184/953033.jpg?v=637417675008630000,PLAZA VEA,Costillar de Res,S/ 18.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/12410182-184-184/20173738.jpg?v=637903584168400000,AGROSUPER,Porciones de Salmón Atlántico AQUA Bolsa 500g,S/ 48.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646372-184-184/20110600.jpg?v=637443528808400000,PLAZA VEA,Filete de Salmón Fresco Importado,S/ 75.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2458304-184-184/20073719.jpg?v=637680241907770000,PLAZA VEA,Costillar Entero de Cerdo Importado,S/ 19.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27146281-184-184/20352671.jpg?v=638255235678770000,REDONDOS,REDONDOS Cerdo Sabor Oriental Bolsa 530g,S/ 22.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381018-184-184/980284.jpg?v=637970148412470000,PLAZA VEA,Chuleta de Pierna de Cerdo con Piel,S/ 20.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2340513-184-184/20190183.jpg?v=637662173876230000,BIG RANCH,Picaña Americana BIG RANCH,S/ 89.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646606-184-184/20190168.jpg?v=637443540814370000,BIG RANCH,Entraña Fina Americana BIG RANCH,S/ 189.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1488441-184-184/20104454.jpg?v=637544512797830000,REDONDOS,Enrollado de Lomo de Cerdo,S/ 28 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/197616-184-184/20133458.jpg?v=636625048576370000,URUBEEF,Entraña Fina URUBEEF,S/ 74.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/12368454-184-184/20280852.jpg?v=637902724266370000,REDONDOS,Chuletón de Pierna REDONDOS Duroc x kg,S/ 30.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/197617-184-184/20132846.jpg?v=636625048581300000,URUBEEF,Picaña URUBEEF,S/ 104.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/197615-184-184/20132841.jpg?v=636625048572370000,URUBEEF,Bife Ancho URUBEEF,S/ 91.99 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/6598313-184-184/20112256.jpg?v=637802043305400000,LAS NORAS,Bife Ancho LAS NORAS,S/ 104.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/28753143-184-184/20178672.jpg?v=638434369691170000,LAS NORAS,Corazón de Cuadril de Res LAS NORAS x kg,S/ 94.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646607-184-184/20190176.jpg?v=637443540844830000,BIG RANCH,Bife Ancho Americano BIG RANCH,S/ 145.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/6598315-184-184/20112257.jpg?v=637802043370300000,LAS NORAS,Colita Cuadril LAS NORAS,S/ 79.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518403-184-184/20074089.jpg?v=637417674902100000,PLAZA VEA,Churrasco Parrillero de Res,S/ 32.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/177230-184-184/20065745.jpg?v=635864717392000000,PLAZA VEA,Costillas de Cerdo ST. LOUIS Importado,S/ 55.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/170588-184-184/135484.jpg?v=635774868899900000,PLAZA VEA,Pollo Fresco con Menudencia,S/ 9.40 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363529-184-184/20193762.jpg?v=638276836145700000,SAN FERNANDO,Filete de Pechuga de Pollo Congelado SAN FERNA...,S/ 21.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588246-184-184/20220316.jpg?v=637562937940100000,SAN FERNANDO,Pechuga Entera de Pollo Empacada al vacío SAN ...,S/ 15.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/19996582-184-184/20197697.jpg?v=638017646496900000,SADIA,Muslos de Pollo SADIA Bolsa 1kg,S/ 12.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363520-184-184/20168637.jpg?v=638276835855100000,EL BUEN CORTE,Lomo Saltado de Res EL BUEN CORTE,S/ 38.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518428-184-184/20102607.jpg?v=637417675737930000,PLAZA VEA,Mondongo de Cau Cau,S/ 12.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/404821-184-184/20197700.jpg?v=637351778330030000,SADIA,Gallina con Menudencia SADIA,S/ 8.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/404034-184-184/20924.jpg?v=637348516963930000,PLAZA VEA,Trucha Eviscerada,S/ 18.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646151-184-184/448727.jpg?v=637443513347300000,REDONDOS,Enrollado de Pollo REDONDOS con Frutas unid x ...,S/ 38.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/26761493-184-184/20206480.jpg?v=638229316491030000,SAN FERNANDO,Pollo Trozado Macerado SAN FERNANDO Asu Olla! ...,S/ 14.40 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518447-184-184/966795.jpg?v=637417676318600000,PLAZA VEA,Panceta de Cerdo con Piel Congelada x Kg,S/ 31.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/179860-184-184/20082791.jpg?v=635911477846600000,SAN FERNANDO,Bife Lomo de Cerdo SAN FERNANDO,S/ 36.90 x kg,plazavea,"Carnes, aves y pescados"
